"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltS74",2003,55.37669,62.411163,65.226036,60.99707,60.25384,73.8711,74.044365,73.63407,81.56226,88.35818,90.609406,69.71315
"AltS74",2004,59.809067,53.399136,56.383842,67.112015,77.45234,80.25742,74.000305,73.6212,81.31963,86.18936,89.15806,77.855606
"AltS74",2005,59.679234,60.945927,58.66823,62.88139,57.86114,64.67968,79.788605,86.61683,87.91501,89.88459,91.52996,56.64371
"AltS74",2006,52.461285,54.665752,52.5023,52.189587,56.163944,69.42548,73.97988,73.92361,80.359276,86.162926,89.444626,78.28378
"AltS74",2007,79.70446,68.40458,69.853905,76.44475,79.15679,82.29513,82.37782,86.66221,90.43464,92.225624,92.38965,89.29124
"AltS74",2008,67.63153,63.449497,69.161674,76.47703,79.904396,82.57473,86.15077,90.39325,92.50846,92.63311,92.14003,90.03473
"AltS74",2009,87.69195,68.918,63.111645,67.92248,77.298836,80.50513,83.93808,88.7361,91.7351,92.076454,92.79392,91.16478
"AltS74",2010,68.137054,60.69874,64.9303,62.921013,65.49731,74.98893,83.13035,86.135666,87.87365,84.72975,83.932465,56.833767
"AltS74",2011,59.00594,57.973717,52.465782,56.261528,58.050217,60.454464,72.946594,73.96543,78.24302,83.34504,86.42294,89.24948
"AltS74",2012,85.72406,81.3664,68.87861,65.52207,72.38467,81.02931,82.180046,86.25658,89.25355,91.45358,90.64178,58.49075
"AltS74",2013,63.872112,67.8184,76.20039,79.20097,79.56159,82.21366,85.89596,90.31056,92.08789,92.13103,92.0989,89.99802
"AltS74",2014,89.286224,81.12267,73.086006,78.40622,86.63356,90.39925,93.22232,93.425354,92.822075,93.811485,93.77023,63.950455
"AltS74F80",1995,53.99811,54.70096,51.466747,54.630306,54.02264,61.674572,74.01072,73.97194,78.50437,79.96661,84.652336,66.641914
"AltS74F80",1996,58.03405,52.216366,53.759937,58.25387,57.18208,73.28756,73.98327,73.98918,80.057655,79.99422,82.20958,54.044037
"AltS74F80",1997,48.81906,54.121784,63.13734,69.94387,76.717186,79.37041,73.98262,73.93542,79.07907,79.93369,81.44121,74.41013
"AltS74F80",1998,54.494312,49.187477,52.93989,55.94639,54.352097,56.027813,68.26709,74.043304,73.499626,75.248764,65.74937,60.289513
"AltS74F80",1999,58.104115,52.515167,54.03133,62.130375,69.21447,78.21879,73.94836,73.71699,80.024445,79.99642,83.59732,87.909836
"AltS74F80",2000,71.601364,53.102768,53.336758,63.29462,71.640976,79.344124,73.99495,73.92798,79.219604,80.01673,84.62623,88.63649
"AltS74F80",2001,82.75024,66.86686,64.71244,72.88271,78.536705,81.87736,86.23893,90.11514,92.176186,92.85508,89.88281,65.34185
"AltS74F80",2002,57.21625,64.967125,67.56517,74.48914,79.07766,81.966995,84.94053,89.024864,91.863754,92.62132,91.12124,62.984116
