"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltF74",2014,-865.483637512656,-3035.86112854597,-4625,-1472.76585514813,-1601.517513065,-1778.91947738241,-2261.15505194835,-2651.88782471302,-3320.97098133605,-2431.79588328294,-1716.18662517523,-5290.32258064516
"AltF80",1995,-3645.16129032258,-4464.28571428572,-3360.0464072374,-3995,145.558546366211,-4242.67788033863,-9531.76989096544,-10606.4773956332,-9689.06741352987,-6473.71736063083,-9999.01249011948,-5290.32258064516
"AltF80",1996,-4516.12903225806,-3753.96986666281,-3500,-1027.59298494829,-1315.86546871045,-4885.25741024849,-10871.3922492892,-10554.9877279268,-9300.88352092679,-7362.97241911816,-8718.49927059945,-1941.44635636039
"AltF80",1997,25072.2626235902,3501.88675366706,-3500,-1568.58914229536,-2372.10833628703,-4549.87081244444,-10820.2736321472,-10289.1444738516,-4605.54248146655,-5194.25936331729,-8910.02368948778,-5290.32258064516
"AltF80",1998,-4516.12903225806,3701.20042403339,-3500,-2930.02373212422,59.3351500311914,-1959.98049513695,-8162.21265402163,-9425.86031042109,-8146.77705539545,-8846.81834255205,-8772.27648294092,-5290.32258064516
"AltF80",1999,-4516.12903225806,-4033.03571428571,-3500,-2362.23340055619,-2057.96953387937,-5000,-10501.4762444752,-9526.72042963363,-7539.86637629835,-5768.04150194827,-9355.66409585858,-4920.76786332696
"AltF80",2000,-3645.16129032258,-4172.41379310345,-3500,-1124.19561302874,-2124.94903034226,-5000,-9968.10640975103,-8972.71919385626,-3588.39286071872,-5895.43078276886,-8386.46477505307,-4047.71547631036
"AltF80",2001,-5000,-4316.42857142857,-3935,-2001.71718014629,-2261.48678070708,-3513.21113534068,-4979.98710243837,-3723.02294650767,-5247.02833475287,-4031.82897132625,-5590.76167961222,-5290.32258064516
"AltF80",2002,-4516.12903225806,-4156.25,-3500,-2413.36760480842,-1903.17763816624,-5000,-6953.85116963311,-6119.74864278718,-5263.92487061862,-4079.82941539705,-5044.09200692748,-5290.32258064516
"AltF80",2003,-4516.12903225806,-4033.03571428571,-3500,-2289.52880221543,-1987.14609293213,-5000,-10244.742242923,-11085.1262247336,-6669.38562256986,-3126.96866582173,-7932.42673850663,-5290.32258064516
"AltF80",2004,-4516.12903225806,-4172.41379310345,-3500,-2508.8188462106,-1960.73975828387,-4689.4333333128,-11394.1896036424,-11528.8646505442,-4164.41850052961,-5631.43523615367,-7362.92272449822,-5290.32258064514
"AltF80",2005,-4516.12903225806,-4156.25,-3500,-547.597618321569,-3452.09228353923,-5000,-8799.08955736633,-10858.3909540864,-9337.55502333938,-7917.29973451837,-8345.6488173288,-5290.32258064516
"AltF80",2006,-4516.12903225806,-4464.28571428571,-1306.00808521061,2791.8596578421,4716.60236606487,-4113.48118644666,-7758.79602399478,-10471.0664793178,-9212.4173278399,-7416.06433856953,-9357.71704371948,-5290.32258064516
"AltF80",2007,-5000,-4156.25,-3500,-2173.17982049962,-2501.06429985844,-5000,-11075.7103809425,-11228.9414527609,-5456.08656917659,-4358.23983767014,-3161.74621602259,-3638.74968376979
"AltF80",2008,-3645.16129032258,-4172.41379310345,-3935,-2376.32638991735,-1063.41026011959,-5000,-5743.4526723496,-3591.90335498463,-4476.53614510008,-2045.53820507873,-2406.80710420719,-2677.7352041254
"AltF80",2009,-2444.09892507735,-4427.32142857143,-3935,-2535.15442489291,-1887.30147024823,-5000,-5325.88991039885,-3652.62007301366,-4757.09400147334,-5127.54866590838,-3403.69003498592,-4058.88643224871
"AltF80",2010,-3645.16129032258,-4156.25,-3500,-1581.70384190402,-2046.29197686945,-5000,-9661.56807608737,-10569.7713174374,-9085.1945625471,-9407.26092374666,-9103.64912547487,-5290.32258064516
"AltF80",2011,-4516.12903225806,-1752.55773059207,2633.47262745228,-3831.84965506103,-1198.22641196635,-5000,-9693.22138910687,-9786.15222925398,-8824.427244678,-8897.76863441184,-9371.74292529263,-5672.36588075726
"AltF80",2012,-5000,-4429.00450635872,-3935,-2064.19549791334,-2320.11690492325,-5000,-11267.6648750294,-10817.8065021499,-6638.86231358269,-6356.0154867227,-5881.7403197831,-5290.32258064516
"AltF80",2013,-4516.12903225806,-4475,-3500,-1875.15214787533,-2578.65340164794,-5000,-7296.11549511434,-5265.05521779449,-5289.5812364534,-2251.31810939964,-2387.51985436753,-2722.37267641912
"AltF80",2014,-1134.62086604173,-3143.34832377579,-4625,-1474.03159678786,-1603.47526684027,-1779.97042395076,-2256.28009878945,-2645.31120576487,-3323.31386742263,-2433.07505876768,-1719.41345306171,-5290.32258064517
"AltNoX2",1995,-3645.16129032258,-4464.28571428571,-3447.54856840491,-3995,149.238092614692,-4232.8800736305,-9524.54988583175,-10601.6871310265,-9682.42403978856,-9960.37438676848,-9580.87660862705,-5290.32258064516
"AltNoX2",1996,-4516.12903225806,-3744.24723422478,-3500,-1024.16902603205,-1312.83223274472,-4881.76330570742,-10868.0128543505,-10769.8144778331,-9457.99988185353,-9831.92819843579,-8714.82503320165,-1925.29891371495
"AltNoX2",1997,25602.8916275012,3518.12238439826,-3500,-1565.6691987418,-2370.24797031316,-4549.68438075927,-10817.212875473,-11127.6495585425,-6934.18712458936,-7009.9438952205,-8526.45070555733,-5290.32258064516
"AltNoX2",1998,-4516.12903225806,3721.07579642455,-3500,-2921.68410517921,71.088193351823,-1947.84650588662,-8155.98056598896,-9422.22918545359,-8143.93838862109,-8843.88321208955,-8769.20434862587,-5290.32258064516
"AltNoX2",1999,-4516.12903225806,-4033.03571428571,-3500,-2359.58334493838,-2057.49290205302,-5000,-10456.8498563548,-9786.45504327207,-9942.11586824014,-7503.10492358635,-6753.36549924862,-6271.18173209257
"AltNoX2",2000,-3645.16129032258,-4172.41379310345,-3500,-1114.55337855873,-2122.81662481084,-5000,-9881.30279280796,-9724.10713941767,-7676.4351449263,-8451.37018518207,-6206.32313928554,-3288.15370374087
"AltNoX2",2001,-5000,-4316.42857142857,-3935,-2012.72094129415,-2261.4839579166,-4167.46073296041,-5046.1507104464,-3669.07912954395,-5189.61848175201,-3949.72865518227,-5686.47335654525,-5290.32258064516
"AltNoX2",2002,-4516.12903225806,-4156.25,-3500,-2415.49851787644,-1902.79913204317,-5000,-9315.0155278726,-5554.91066415061,-5556.98640347591,-4099.69289202863,-5028.57787521019,-5290.32258064516
"AltNoX2",2003,-4516.12903225806,-4033.03571428571,-3500,-2292.33137000986,-1987.66405004674,-5000,-10254.0035016488,-11097.4410271665,-8610.73126277717,-5613.82370063288,-5816.19006876701,-5290.32258064516
"AltNoX2",2004,-4516.12903225806,-4172.41379310345,-3500,-2513.55143893465,-1965.21135649028,-4689.43333331279,-11410.2368384989,-11534.6247302718,-4984.86786787727,-8366.77490962963,-6699.03069504568,-5290.32258064516
"AltNoX2",2005,-4516.12903225806,-4156.25,-3500,-559.859696402051,-3443.15382008647,-5000,-8859.5954708478,-10854.9071553742,-9660.36457813384,-8147.25610861269,-8547.42018463656,-5290.32258064516
"AltNoX2",2006,-4516.12903225806,-4464.28571428572,-911.386571621402,2806.85650696331,4731.88257049279,-4106.01665274926,-7754.70760568586,-10467.8234253041,-9209.24699825434,-9219.91716883239,-9354.8936828277,-5290.32258064516
"AltNoX2",2007,-5000,-4156.25,-3500,-2176.26810502593,-2501.56404419602,-5000,-11072.3178109993,-11768.880261712,-6343.15080530025,-5575.39260943458,-3140.38689457206,-3336.75482237235
"AltNoX2",2008,-3645.16129032258,-4172.41379310345,-3935,-2381.97139014368,-794.764660591264,-4979.72615283193,-5443.42142607612,-3333.3226256553,-4665.67044453512,-2026.58538074598,-2396.22878388304,-2682.21035398001
"AltNoX2",2009,-2425.77691934462,-4427.32142857143,-3935,-2535.49304589165,-1907.13693692274,-5000,-5749.80364498196,-3623.21055258309,-4767.29557740998,-5172.64626946226,-3413.11887427358,-4060.10860061612
"AltNoX2",2010,-3645.16129032258,-4156.25,-3500,-1580.14907971481,-2045.91495579544,-5000,-9634.30759219189,-10558.7543256951,-9059.32224839994,-9404.16737629136,-9099.8789235652,-5290.32258064516
