"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
2013,"AltS74",476500,-2224.49621722136,-5000,-1955.44407449756,-3213.877658444,-4625
2013,"AltS74F80",476500,-2222.89447271346,-5000,-1827.62787651451,-3309.85153363438,-4625
2014,"AltF74",276000,-1537.14168410657,-1778.91947738241,-5050.4765744993,-4316.42857142857,-1997.01914979627
2014,"AltF80",276000,-1538.75343181407,-1779.97042395076,-5053.06394712393,-4316.42857142857,-2002.32594183014
2014,"AltNoX2",276000,-1475.63058034296,-1768.63060290334,-5056.47782506772,-4316.42857142857,-1976.47400184127
2014,"AltS74",276000,-1470.94779141298,-1773.01321202745,-5048.64920523094,-4316.42857142857,-1965.0260670053
2014,"AltS74F80",276000,-1469.4454109549,-1776.71782690864,-5048.3851335531,-4316.42857142857,-1962.82725483175
2015,"AltF74",306016.683584209,-1209.74788373308,-1828.17102089723,-3671.17651902626,-4172.41379310345,-3935
2015,"AltF80",305728.954850937,-1210.05194704043,-1827.45124398837,-3635.67848454802,-4172.41379310345,-3935
2015,"AltNoX2",305606.721920097,-1210.23984306584,-1826.19261471463,-3613.06756365925,-4172.41379310345,-3935
2015,"AltS74",305961.237438776,-1209.80351580984,-1828.90562602309,-3660.70055527819,-4172.41379310345,-3935
2015,"AltS74F80",305965.265178011,-1209.60852106552,-1829.79329243749,-3688.80687134064,-4172.41379310345,-3935
2016,"AltF74",543004.015315915,-2116.61186720084,-4999.99999999998,-4903.22580645161,12303.2798156577,-3073.6008077615
2016,"AltF80",543094.552122975,-2116.81017020533,-4999.99999999999,-4903.22580645161,12314.6846769205,-3045.18144002237
2016,"AltNoX2",543190.220744991,-2117.23888239414,-4999.99999999999,-4903.22580645161,12327.0513158404,-2951.03339325077
2016,"AltS74",542948.698322061,-2116.55679489337,-4999.99999999999,-4903.22580645161,12303.5224306528,-3061.63619241998
2016,"AltS74F80",542894.73426176,-2116.45660922792,-5000,-4903.22580645161,12296.481518979,-3119.29797433365
