"","year","month","region","sal","X2","WY","month_f","region_f","wy_f","X2_z","X2_z_quad"
"3455",2018,3,"Yolo Bypass",0.243092316247631,71.2712903225806,2018,"3","Yolo Bypass","2018",-0.329906747625833,0.108838462129055
"3456",2018,4,"Confluence",0.0813362359215516,62.538,2018,"4","Confluence","2018",-1.13176603394321,1.28089435558754
"3457",2018,4,"East Delta",0.0667460203556639,62.538,2018,"4","East Delta","2018",-1.13176603394321,1.28089435558754
"3458",2018,4,"Lower Sacramento River",0.0684158544624064,62.538,2018,"4","Lower Sacramento River","2018",-1.13176603394321,1.28089435558754
"3459",2018,4,"Lower San Joaquin River",0.088076738954344,62.538,2018,"4","Lower San Joaquin River","2018",-1.13176603394321,1.28089435558754
"3460",2018,4,"NE Suisun",0.34403982438965,62.538,2018,"4","NE Suisun","2018",-1.13176603394321,1.28089435558754
"3461",2018,4,"NW Suisun",1.3361549989496,62.538,2018,"4","NW Suisun","2018",-1.13176603394321,1.28089435558754
"3462",2018,4,"SE Suisun",0.0862948175860851,62.538,2018,"4","SE Suisun","2018",-1.13176603394321,1.28089435558754
"3463",2018,4,"SW Suisun",1.49045044624667,62.538,2018,"4","SW Suisun","2018",-1.13176603394321,1.28089435558754
"3464",2018,4,"Sacramento River",0.0661560750307944,62.538,2018,"4","Sacramento River","2018",-1.13176603394321,1.28089435558754
"3465",2018,4,"South Delta",0.146696617137207,62.538,2018,"4","South Delta","2018",-1.13176603394321,1.28089435558754
"3466",2018,4,"Suisun Marsh",0.788342988583939,62.538,2018,"4","Suisun Marsh","2018",-1.13176603394321,1.28089435558754
"3467",2018,4,"Yolo Bypass",0.240711343146246,62.538,2018,"4","Yolo Bypass","2018",-1.13176603394321,1.28089435558754
"3468",2018,5,"Confluence",0.221016262977485,69.6996774193548,2018,"5","Confluence","2018",-0.474206588166967,0.224871888260956
"3469",2018,5,"East Delta",0.064649473440042,69.6996774193548,2018,"5","East Delta","2018",-0.474206588166967,0.224871888260956
"3470",2018,5,"Lower Sacramento River",0.116763826207514,69.6996774193548,2018,"5","Lower Sacramento River","2018",-0.474206588166967,0.224871888260956
"3471",2018,5,"Lower San Joaquin River",0.105293414668766,69.6996774193548,2018,"5","Lower San Joaquin River","2018",-0.474206588166967,0.224871888260956
"3472",2018,5,"NE Suisun",2.16508799611956,69.6996774193548,2018,"5","NE Suisun","2018",-0.474206588166967,0.224871888260956
"3473",2018,5,"NW Suisun",5.4377307163725,69.6996774193548,2018,"5","NW Suisun","2018",-0.474206588166967,0.224871888260956
"3474",2018,5,"SE Suisun",1.20587694316889,69.6996774193548,2018,"5","SE Suisun","2018",-0.474206588166967,0.224871888260956
"3475",2018,5,"SW Suisun",5.96096638592669,69.6996774193548,2018,"5","SW Suisun","2018",-0.474206588166967,0.224871888260956
"3476",2018,5,"Sacramento River",0.0810219023303199,69.6996774193548,2018,"5","Sacramento River","2018",-0.474206588166967,0.224871888260956
"3477",2018,5,"South Delta",0.131890289539637,69.6996774193548,2018,"5","South Delta","2018",-0.474206588166967,0.224871888260956
"3478",2018,5,"Suisun Marsh",1.82307770860331,69.6996774193548,2018,"5","Suisun Marsh","2018",-0.474206588166967,0.224871888260956
"3479",2018,5,"Yolo Bypass",0.228183124209965,69.6996774193548,2018,"5","Yolo Bypass","2018",-0.474206588166967,0.224871888260956
"3480",2018,6,"Confluence",1.27297801832602,76.523,2018,"6","Confluence","2018",0.152286334057631,0.0231911275407123
"3481",2018,6,"East Delta",0.0686028423903207,76.523,2018,"6","East Delta","2018",0.152286334057631,0.0231911275407123
"3482",2018,6,"Lower Sacramento River",0.328103544736013,76.523,2018,"6","Lower Sacramento River","2018",0.152286334057631,0.0231911275407123
"3483",2018,6,"Lower San Joaquin River",0.103945097589502,76.523,2018,"6","Lower San Joaquin River","2018",0.152286334057631,0.0231911275407123
"3484",2018,6,"NE Suisun",5.67478455161217,76.523,2018,"6","NE Suisun","2018",0.152286334057631,0.0231911275407123
"3485",2018,6,"NW Suisun",8.24968509244249,76.523,2018,"6","NW Suisun","2018",0.152286334057631,0.0231911275407123
"3486",2018,6,"SE Suisun",3.60526814200214,76.523,2018,"6","SE Suisun","2018",0.152286334057631,0.0231911275407123
"3487",2018,6,"SW Suisun",10.4036073689987,76.523,2018,"6","SW Suisun","2018",0.152286334057631,0.0231911275407123
"3488",2018,6,"Sacramento River",0.0701939293378483,76.523,2018,"6","Sacramento River","2018",0.152286334057631,0.0231911275407123
"3489",2018,6,"South Delta",0.13755354212158,76.523,2018,"6","South Delta","2018",0.152286334057631,0.0231911275407123
"3490",2018,6,"Suisun Marsh",3.41708705128982,76.523,2018,"6","Suisun Marsh","2018",0.152286334057631,0.0231911275407123
"3491",2018,6,"Yolo Bypass",0.226035545218313,76.523,2018,"6","Yolo Bypass","2018",0.152286334057631,0.0231911275407123
"3492",2018,7,"Confluence",1.59165950575749,80.5316129032258,2018,"7","Confluence","2018",0.520342743838526,0.270756571065406
"3493",2018,7,"East Delta",0.0731909941182715,80.5316129032258,2018,"7","East Delta","2018",0.520342743838526,0.270756571065406
"3494",2018,7,"Lower Sacramento River",0.241284820998481,80.5316129032258,2018,"7","Lower Sacramento River","2018",0.520342743838526,0.270756571065406
"3495",2018,7,"Lower San Joaquin River",0.181180534754784,80.5316129032258,2018,"7","Lower San Joaquin River","2018",0.520342743838526,0.270756571065406
"3496",2018,7,"NE Suisun",5.85864792925365,80.5316129032258,2018,"7","NE Suisun","2018",0.520342743838526,0.270756571065406
"3497",2018,7,"NW Suisun",9.06579838973611,80.5316129032258,2018,"7","NW Suisun","2018",0.520342743838526,0.270756571065406
"3498",2018,7,"SE Suisun",3.88046273417366,80.5316129032258,2018,"7","SE Suisun","2018",0.520342743838526,0.270756571065406
"3499",2018,7,"SW Suisun",12.5707273013013,80.5316129032258,2018,"7","SW Suisun","2018",0.520342743838526,0.270756571065406
"3500",2018,7,"Sacramento River",0.062586096737495,80.5316129032258,2018,"7","Sacramento River","2018",0.520342743838526,0.270756571065406
"3501",2018,7,"South Delta",0.144197594140975,80.5316129032258,2018,"7","South Delta","2018",0.520342743838526,0.270756571065406
"3502",2018,7,"Suisun Marsh",5.20732799820478,80.5316129032258,2018,"7","Suisun Marsh","2018",0.520342743838526,0.270756571065406
"3503",2018,7,"Yolo Bypass",0.252479593441234,80.5316129032258,2018,"7","Yolo Bypass","2018",0.520342743838526,0.270756571065406
"3504",2018,8,"Confluence",1.8061054476374,81.9877419354839,2018,"8","Confluence","2018",0.654039270973723,0.427767367975839
"3505",2018,8,"East Delta",0.0816573808134293,81.9877419354839,2018,"8","East Delta","2018",0.654039270973723,0.427767367975839
"3506",2018,8,"Lower Sacramento River",0.210029556218653,81.9877419354839,2018,"8","Lower Sacramento River","2018",0.654039270973723,0.427767367975839
"3507",2018,8,"Lower San Joaquin River",0.318017116395768,81.9877419354839,2018,"8","Lower San Joaquin River","2018",0.654039270973723,0.427767367975839
"3508",2018,8,"NE Suisun",7.0575608690443,81.9877419354839,2018,"8","NE Suisun","2018",0.654039270973723,0.427767367975839
"3509",2018,8,"NW Suisun",9.74968421018681,81.9877419354839,2018,"8","NW Suisun","2018",0.654039270973723,0.427767367975839
"3510",2018,8,"SE Suisun",5.75741464780469,81.9877419354839,2018,"8","SE Suisun","2018",0.654039270973723,0.427767367975839
"3511",2018,8,"SW Suisun",12.8763358437961,81.9877419354839,2018,"8","SW Suisun","2018",0.654039270973723,0.427767367975839
"3512",2018,8,"Sacramento River",0.0730930792374889,81.9877419354839,2018,"8","Sacramento River","2018",0.654039270973723,0.427767367975839
"3513",2018,8,"South Delta",0.157476472496062,81.9877419354839,2018,"8","South Delta","2018",0.654039270973723,0.427767367975839
"3514",2018,8,"Suisun Marsh",4.70489957874446,81.9877419354839,2018,"8","Suisun Marsh","2018",0.654039270973723,0.427767367975839
"3515",2018,8,"Yolo Bypass",0.24930219131792,81.9877419354839,2018,"8","Yolo Bypass","2018",0.654039270973723,0.427767367975839
"3516",2018,9,"Confluence",2.29663898751269,82.7556666666667,2018,"9","Confluence","2018",0.72454735603069,0.524968871131064
"3517",2018,9,"East Delta",0.0818974155122837,82.7556666666667,2018,"9","East Delta","2018",0.72454735603069,0.524968871131064
"3518",2018,9,"Lower Sacramento River",0.862777878012695,82.7556666666667,2018,"9","Lower Sacramento River","2018",0.72454735603069,0.524968871131064
"3519",2018,9,"Lower San Joaquin River",0.521231942380497,82.7556666666667,2018,"9","Lower San Joaquin River","2018",0.72454735603069,0.524968871131064
"3520",2018,9,"NE Suisun",7.8508679036543,82.7556666666667,2018,"9","NE Suisun","2018",0.72454735603069,0.524968871131064
