"month","region","year","sal_AltF74","sal_AltF80","sal_AltNoX2","sal_AltS74","sal_AltS74F80"
1,"Confluence",2019,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2020,0.1,0.1,0.1,0.1,0.1
1,"Confluence",2021,1.88150250239707,1.85335335871792,1.89818276353268,2.0595360448373,1.88051882219022
1,"NE Suisun",1922,0.503678182627981,0.417282611056166,0.465203926613142,0.465203926613142,0.417282611056166
1,"NE Suisun",1923,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1924,2.5310845702301,2.52168063192919,2.50012585631044,2.48182940359746,2.54590899236496
1,"NE Suisun",1925,2.40817607974219,2.40712726240286,2.40668487680903,2.40886838058648,2.40855252416976
1,"NE Suisun",1926,2.08647191736937,2.085368137341,2.06818229801526,2.08586844977079,2.08666934770438
1,"NE Suisun",1927,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1928,1.334525042301,1.47351434672182,1.15807194457058,1.14844190393277,1.41937749819731
1,"NE Suisun",1929,2.54861456698085,2.61223912227868,2.62085657824573,2.47438238221143,2.61960328536353
1,"NE Suisun",1930,0.165834069012638,0.136148650977875,0.13883514029693,0.151198372149821,0.171608460729605
1,"NE Suisun",1931,2.6219667753852,1.84681543831825,1.82409765879844,2.61958168093069,2.57224466177173
1,"NE Suisun",1932,0.323703748800781,0.172248333042393,0.318550469308292,0.321967782720948,0.32691065519699
1,"NE Suisun",1933,2.28196667210326,2.29048410989002,2.29091521505282,2.29313063883212,2.29704176133221
1,"NE Suisun",1934,1.26235364709397,1.29064353494817,1.19937747124565,1.2420424250814,1.24654276645382
1,"NE Suisun",1935,0.514731559263785,0.525015961416816,0.51774330902869,0.515015403550459,0.50235591804544
1,"NE Suisun",1936,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1937,2.28797371660612,2.28715502683105,2.28368035195855,2.28752716652416,2.28864678900623
1,"NE Suisun",1938,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1939,2.5120343945877,2.66446748919804,2.40690493602312,2.64849332754099,2.57672316147044
1,"NE Suisun",1940,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1941,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1942,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1943,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1944,2.37006064605933,2.57343795007908,2.37984122058081,2.57640405043032,2.44990654366579
1,"NE Suisun",1945,1.81728829174517,1.80981556970916,1.77851431698829,1.80466486137273,1.82003538038477
1,"NE Suisun",1946,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1947,2.67730752863729,2.68925045971932,2.68947441570593,2.68767526036598,2.67524232972056
1,"NE Suisun",1948,2.24791518213559,2.24753393897591,2.24777235490837,2.24728343160867,2.24791847812557
1,"NE Suisun",1949,2.55041289533769,2.5454853792215,2.54913457986422,2.54667507790711,2.5554622520236
1,"NE Suisun",1950,0.874531792358155,0.873845622342536,0.870890735974017,0.87688622054946,0.875378348813671
1,"NE Suisun",1951,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1952,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1953,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1954,1.17699785404781,0.785603061189168,0.277340716635841,0.991392199002757,1.26365634828834
1,"NE Suisun",1955,0.472913171279082,0.475324619787603,0.539984383593932,0.544776823613226,0.476670911138495
1,"NE Suisun",1956,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1957,2.37212888960448,2.55647957341049,2.65036947589944,2.72011649331096,2.43056215583517
1,"NE Suisun",1958,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1959,0.724166172954861,0.65749530218798,0.653613155715078,0.731152790792565,0.799354999246029
1,"NE Suisun",1960,2.4543801628608,2.5340377675497,2.76332861891115,2.70177240849114,2.55505759675262
1,"NE Suisun",1961,2.1859986116028,2.18375541080738,2.18258985579983,2.1853675658557,2.18654895013449
1,"NE Suisun",1962,2.49314779558067,2.49258837484915,2.49168036252257,2.49258472751644,2.49303248130652
1,"NE Suisun",1963,0.674354475373772,0.67259144740032,0.673943615261932,0.674546873903953,0.674351970166683
1,"NE Suisun",1964,0.972476679682064,0.937818065350593,0.957281223472405,1.0779149208172,1.00122992045854
1,"NE Suisun",1965,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1966,0.274761471911589,0.1,0.1,0.108197035349157,0.230693220694169
1,"NE Suisun",1967,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1968,0.868152496111271,0.908934051476168,0.942403267577268,0.59480906214357,0.898935543063796
1,"NE Suisun",1969,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1970,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1971,0.1,0.1,0.1,0.1,0.1
1,"NE Suisun",1972,1.22242204460534,1.15742115380658,1.14396802624025,1.30206775474771,1.23483106918768
1,"NE Suisun",1973,0.1,0.1,0.1,0.1,0.1
